,type,Rule_for_ll,Rule_for_rest,cross Entropy,SSIM_with_CT,SSIM_with_MR
0,Local Energy,mean,max,9.652692315352397,0.544028484335,0.7715605665109627
1,Local Energy,mean,min,9.652692315352397,0.544028484335,0.7715605665109627
2,Local Energy,max,mean,9.683293315661935,0.5287163380855872,0.7014173684564874
3,Local Energy,max,min,9.683293315661935,0.5287163380855872,0.7014173684564874
4,Local Energy,min,mean,9.580693451605832,0.3879368968404188,0.8263929862964017
5,Local Energy,min,max,9.580693451605832,0.3879368968404188,0.8263929862964017
6,Normal,mean,max,4.454407683764499,0.32069974788800887,0.23679466962416873
7,Normal,mean,min,4.4097793880310405,0.2781196706074613,0.2149113025132849
8,Normal,max,mean,3.6534855189993234,0.7891474171033147,0.6125538668293651
9,Normal,max,min,4.4097793880310405,0.2781196706074613,0.2149113025132849
10,Normal,min,mean,3.6534855189993234,0.7891474171033147,0.6125538668293651
11,Normal,min,max,4.454407683764499,0.32069974788800887,0.23679466962416873
